source_name,source_type,url
Bloomberg,business,https://nitter.net/business/rss
"Ars Technica",tech,https://feeds.feedburner.com/arstechnica/index
"The Verge",tech,https://www.theverge.com/rss/index.xml
"The Intercept",politics,https://theintercept.com/feed/?lang=en
Neural,tech,https://neural.it/customfeed/all.php
"MIT Technology Review",science,https://www.technologyreview.com/feed/
Hackaday,tech,https://hackaday.com/blog/feed/
"New York Times",news,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml
"Wall Street Journal",news,https://feeds.a.dj.com/rss/RSSMarketsMain.xml
"Roll Call",politics,https://nitter.net/rollcall/rss
Nature,science,https://nitter.net/Nature/rss
"The Guardian",news,https://www.theguardian.com/world/rss
Wired,tech,https://www.wired.com/feed/category/business/latest/rss
"Harvard Business Review",business,https://tagteam.harvard.edu/hub_feeds/924/feed_items.rss
StackOverflow,tech,https://stackoverflow.blog/feed/
NPR,news,https://feeds.npr.org/500005/podcast.xml
The New Yorker,news,https://www.newyorker.com/feed/everything
DoJ,news,https://www.justice.gov/feeds/justice-news.xml?type%5Bpress_release%5D=press_release&component%5B376%5D=376&organization=All